id,playerID,year,teamName,teamID,league,round,position,games,GS,InnOuts,PO,assists,errors,DP,TP,PB,SB,CS,createdAt,updatedAt
208,lappja01,1911,PHA,1911PHA,AL,WS,C,2,2,62,18,7,0,1,0,0,,,,
209,lordbr01,1911,PHA,1911PHA,AL,WS,LF,6,6,167,14,1,0,0,0,,,,,
210,marquru01,1911,NY1,1911NY1,NL,WS,P,3,2,35,0,2,0,0,0,,,,,
211,mathech01,1911,NY1,1911NY1,NL,WS,P,3,3,81,2,9,1,0,0,,,,,
212,mcinnst01,1911,PHA,1911PHA,AL,WS,1B,1,0,1,1,0,0,0,0,,,,,
213,merklfr01,1911,NY1,1911NY1,NL,WS,1B,6,6,162,62,4,2,0,0,,,,,
214,meyerch01,1911,NY1,1911NY1,NL,WS,C,6,6,159,37,12,0,1,0,1,,,,
215,murphda02,1911,PHA,1911PHA,AL,WS,RF,6,6,167,8,0,1,0,0,,,,,
216,murrare01,1911,NY1,1911NY1,NL,WS,RF,6,6,162,4,1,3,0,0,,,,,
217,oldriru01,1911,PHA,1911PHA,AL,WS,CF,6,6,167,8,0,1,0,0,,,,,
218,planked01,1911,PHA,1911PHA,AL,WS,P,2,1,29,0,2,0,0,0,,,,,
219,snodgfr01,1911,NY1,1911NY1,NL,WS,CF,6,6,162,10,0,0,0,0,,,,,
220,thomair01,1911,PHA,1911PHA,AL,WS,C,4,4,105,31,5,0,0,0,0,,,,
221,wilsoar01,1911,NY1,1911NY1,NL,WS,C,1,0,3,1,0,0,0,0,0,,,,
222,wiltsho01,1911,NY1,1911NY1,NL,WS,P,2,0,10,0,2,0,0,0,,,,,
223,amesre01,1912,NY1,1912NY1,NL,WS,P,1,0,6,0,1,0,0,0,,,,,
224,beckebe01,1912,NY1,1912NY1,NL,WS,CF,1,1,33,0,1,0,0,0,,,,,
225,bediehu01,1912,BOS,1912BOS,AL,WS,P,4,2,54,0,1,0,0,0,,,,,
226,cadyhi01,1912,BOS,1912BOS,AL,WS,C,7,6,165,35,8,1,0,0,0,,,,
227,carribi02,1912,BOS,1912BOS,AL,WS,C,2,2,57,10,4,0,0,0,0,,,,
228,collira01,1912,BOS,1912BOS,AL,WS,P,2,1,43,0,3,0,0,0,,,,,
229,cranddo01,1912,NY1,1912NY1,NL,WS,P,1,0,6,0,1,0,0,0,,,,,
230,devorjo01,1912,NY1,1912NY1,NL,WS,LF,4,4,105,3,0,0,0,0,,,,,
231,devorjo01,1912,NY1,1912NY1,NL,WS,RF,3,3,83,9,2,1,1,0,,,,,
232,doylela01,1912,NY1,1912NY1,NL,WS,2B,8,8,221,15,26,5,1,0,,,,,
233,fletcar01,1912,NY1,1912NY1,NL,WS,SS,8,8,204,16,24,4,3,0,,,,,
234,gardnla01,1912,BOS,1912BOS,AL,WS,3B,8,8,222,9,13,3,0,0,,,,,
235,hallch02,1912,BOS,1912BOS,AL,WS,P,2,0,32,0,5,1,0,0,,,,,
236,herzobu01,1912,NY1,1912NY1,NL,WS,3B,8,8,221,11,15,0,1,0,,,,,
237,hoopeha01,1912,BOS,1912BOS,AL,WS,RF,8,8,222,16,2,0,1,0,,,,,
238,lewisdu01,1912,BOS,1912BOS,AL,WS,LF,8,8,222,14,0,1,0,0,,,,,
239,marquru01,1912,NY1,1912NY1,NL,WS,P,2,2,54,0,4,1,0,0,,,,,
240,mathech01,1912,NY1,1912NY1,NL,WS,P,3,3,86,1,12,0,0,0,,,,,
241,merklfr01,1912,NY1,1912NY1,NL,WS,1B,8,8,221,83,1,2,2,0,,,,,
242,meyerch01,1912,NY1,1912NY1,NL,WS,C,8,8,206,42,5,1,1,0,0,,,,
243,murrare01,1912,NY1,1912NY1,NL,WS,LF,4,3,103,9,0,0,0,0,,,,,
244,murrare01,1912,NY1,1912NY1,NL,WS,RF,5,5,118,12,1,0,0,0,,,,,
245,obriebu01,1912,BOS,1912BOS,AL,WS,P,2,2,27,1,6,0,0,0,,,,,
246,shafeti01,1912,NY1,1912NY1,NL,WS,SS,3,0,17,1,4,0,0,0,,,,,
247,snodgfr01,1912,NY1,1912NY1,NL,WS,CF,7,7,188,17,1,1,0,0,,,,,
248,snodgfr01,1912,NY1,1912NY1,NL,WS,LF,1,1,13,0,0,0,0,0,,,,,
249,snodgfr01,1912,NY1,1912NY1,NL,WS,RF,1,0,20,0,0,0,0,0,,,,,
250,speaktr01,1912,BOS,1912BOS,AL,WS,CF,8,8,222,21,2,2,2,0,,,,,
251,stahlja01,1912,BOS,1912BOS,AL,WS,1B,8,8,222,76,3,0,4,0,,,,,
252,tesreje01,1912,NY1,1912NY1,NL,WS,P,3,3,69,0,10,0,0,0,,,,,
253,wagnehe01,1912,BOS,1912BOS,AL,WS,SS,8,8,222,25,24,3,1,0,,,,,
254,wilsoar01,1912,NY1,1912NY1,NL,WS,C,2,0,15,2,1,1,0,0,0,,,,
255,woodjo02,1912,BOS,1912BOS,AL,WS,P,4,3,66,1,6,0,1,0,,,,,
256,yerkest02,1912,BOS,1912BOS,AL,WS,2B,8,8,222,14,22,1,1,0,,,,,
257,bakerfr01,1913,PHA,1913PHA,AL,WS,3B,5,5,138,6,5,1,0,0,,,,,
258,barryja01,1913,PHA,1913PHA,AL,WS,SS,5,5,138,8,15,1,5,0,,,,,
259,bendech01,1913,PHA,1913PHA,AL,WS,P,2,2,54,0,5,0,0,0,,,,,
260,burnsge01,1913,NY1,1913NY1,NL,WS,LF,5,5,135,14,0,1,0,0,,,,,
261,bushjo01,1913,PHA,1913PHA,AL,WS,P,1,1,27,0,1,0,1,0,,,,,
262,collied01,1913,PHA,1913PHA,AL,WS,2B,5,5,138,17,18,1,5,0,,,,,
263,cranddo01,1913,NY1,1913NY1,NL,WS,P,2,0,14,0,2,0,0,0,,,,,
264,demaral01,1913,NY1,1913NY1,NL,WS,P,1,1,12,0,2,0,0,0,,,,,
265,doylela01,1913,NY1,1913NY1,NL,WS,2B,5,5,135,13,19,3,1,0,,,,,
266,fletcar01,1913,NY1,1913NY1,NL,WS,SS,5,5,135,8,10,1,0,0,,,,,
267,herzobu01,1913,NY1,1913NY1,NL,WS,3B,5,4,129,6,7,0,0,0,,,,,
