id,playerID,award,year,league,tie,notes,createdAt,updatedAt
375,killebi01,Baseball Magazine All-Star,1917,ML,,C,,
376,cobbty01,Baseball Magazine All-Star,1917,ML,,OF,,
377,roushed01,Baseball Magazine All-Star,1917,ML,,OF,,
378,speaktr01,Baseball Magazine All-Star,1917,ML,,OF,,
379,alexape01,Baseball Magazine All-Star,1917,ML,,P1,,
380,johnswa01,Baseball Magazine All-Star,1917,ML,,P2,,
381,chapmra01,Baseball Magazine All-Star,1917,ML,,SS,,
382,chaseha01,Baseball Magazine All-Star,1917,NL,,1B,,
383,herzobu01,Baseball Magazine All-Star,1917,NL,,2B,,
384,zimmehe01,Baseball Magazine All-Star,1917,NL,,3B,,
385,killebi01,Baseball Magazine All-Star,1917,NL,,C,,
386,burnsge01,Baseball Magazine All-Star,1917,NL,,OF,,
387,careyma01,Baseball Magazine All-Star,1917,NL,,OF,,
388,roushed01,Baseball Magazine All-Star,1917,NL,,OF,,
389,alexape01,Baseball Magazine All-Star,1917,NL,,P1,,
390,coopewi01,Baseball Magazine All-Star,1917,NL,,P2,,
391,maranra01,Baseball Magazine All-Star,1917,NL,,SS,,
392,sislege01,Baseball Magazine All-Star,1918,AL,,1B,,
393,collied01,Baseball Magazine All-Star,1918,AL,,2B,,
394,bakerfr01,Baseball Magazine All-Star,1918,AL,,3B,,
395,oneilst01,Baseball Magazine All-Star,1918,AL,,C,,
396,cobbty01,Baseball Magazine All-Star,1918,AL,,OF,,
397,hoopeha01,Baseball Magazine All-Star,1918,AL,,OF,,
398,speaktr01,Baseball Magazine All-Star,1918,AL,,OF,,
399,ruthba01,Baseball Magazine All-Star,1918,AL,,P1,,
400,johnswa01,Baseball Magazine All-Star,1918,AL,,P2,,
401,chapmra01,Baseball Magazine All-Star,1918,AL,,SS,,
402,sislege01,Baseball Magazine All-Star,1918,ML,,1B,,
403,collied01,Baseball Magazine All-Star,1918,ML,,2B,,
404,grohhe01,Baseball Magazine All-Star,1918,ML,,3B,,
405,killebi01,Baseball Magazine All-Star,1918,ML,,C,,
406,cobbty01,Baseball Magazine All-Star,1918,ML,,OF,,
407,roushed01,Baseball Magazine All-Star,1918,ML,,OF,,
408,speaktr01,Baseball Magazine All-Star,1918,ML,,OF,,
409,ruthba01,Baseball Magazine All-Star,1918,ML,,P1,,
410,johnswa01,Baseball Magazine All-Star,1918,ML,,P2,,
411,vaughhi01,Baseball Magazine All-Star,1918,ML,,P3,,
412,holloch01,Baseball Magazine All-Star,1918,ML,,SS,,
413,daubeja01,Baseball Magazine All-Star,1918,NL,,1B,,
414,cutshge01,Baseball Magazine All-Star,1918,NL,,2B,,
415,grohhe01,Baseball Magazine All-Star,1918,NL,,3B,,
416,killebi01,Baseball Magazine All-Star,1918,NL,,C,,
417,burnsge01,Baseball Magazine All-Star,1918,NL,,OF,,
418,roushed01,Baseball Magazine All-Star,1918,NL,,OF,,
419,wheatza01,Baseball Magazine All-Star,1918,NL,,OF,,
420,vaughhi01,Baseball Magazine All-Star,1918,NL,,P1,,
421,grimebu01,Baseball Magazine All-Star,1918,NL,,P2,,
422,holloch01,Baseball Magazine All-Star,1918,NL,,SS,,
423,johnswa01,Pitching Triple Crown,1918,AL,,,,
424,vaughhi01,Pitching Triple Crown,1918,NL,,,,
425,sislege01,Baseball Magazine All-Star,1919,AL,,1B,,
426,collied01,Baseball Magazine All-Star,1919,AL,,2B,,
427,weavebu01,Baseball Magazine All-Star,1919,AL,,3B,,
