id,year,league,team,teamID,parkID,spanFirst,spanLast,games,openings,attendance,createdAt,updatedAt
224,1886,NL,CHN,1886CHN,CHI06,1886-05-06,1886-09-11,62,1,3000,,
225,1886,AA,CN2,1886CN2,CIN04,1886-04-17,1886-10-10,71,2,13000,,
226,1886,NL,DTN,1886DTN,DET01,1886-05-10,1886-09-23,62,1,5000,,
227,1886,NL,KCN,1886KCN,KAN02,1886-04-30,1886-09-18,58,1,5000,,
228,1886,AA,LS2,1886LS2,LOU02,1886-04-18,1886-10-10,69,1,10000,,
229,1886,NL,NY1,1886NY1,NYC03,1886-04-29,1886-10-09,63,4,56000,,
230,1886,AA,NY4,1886NY4,SAI01,1886-04-22,1886-09-23,65,2,10000,,
231,1886,AA,PH4,1886PH4,PHI01,1886-04-17,1886-10-15,71,2,11000,,
232,1886,NL,PHI,1886PHI,PHI04,1886-05-03,1886-10-09,62,2,9058,,
233,1886,AA,PT1,1886PT1,PIT04,1886-05-01,1886-10-12,74,1,1000,,
234,1886,AA,SL4,1886SL4,STL03,1886-04-18,1886-10-10,70,4,33000,,
235,1886,NL,SL5,1886SL5,STL04,1886-04-29,1886-09-23,63,1,3500,,
236,1886,NL,WS8,1886WS8,WAS05,1886-04-29,1886-10-11,66,4,6700,,
237,1887,AA,BL2,1887BL2,BAL03,1887-04-16,1887-10-01,68,2,15500,,
238,1887,AA,BR3,1887BR3,NYC05,1887-04-16,1887-10-06,59,4,36500,,
239,1887,AA,BR3,1887BR3,NYC18,1887-04-24,1887-10-09,15,3,25000,,
240,1887,NL,BSN,1887BSN,BOS01,1887-05-09,1887-09-10,60,4,41000,,
241,1887,NL,CHN,1887CHN,CHI06,1887-05-06,1887-09-29,67,4,34000,,
242,1887,AA,CL3,1887CL3,CLE03,1887-05-04,1887-10-03,59,7,17200,,
243,1887,AA,CL3,1887CL3,CLE09,1887-08-21,1887-08-21,1,0,0,,
244,1887,AA,CN2,1887CN2,CIN04,1887-04-16,1887-10-02,73,2,20000,,
245,1887,NL,DTN,1887DTN,DET01,1887-05-05,1887-09-28,62,5,16700,,
246,1887,NL,IN3,1887IN3,IND04,1887-04-28,1887-10-08,64,2,4200,,
247,1887,AA,LS2,1887LS2,LOU02,1887-04-16,1887-10-09,69,3,12000,,
248,1887,NL,NY1,1887NY1,NYC03,1887-04-28,1887-10-08,63,8,51525,,
249,1887,AA,NY4,1887NY4,NYC05,1887-10-08,1887-10-08,1,0,0,,
250,1887,AA,NY4,1887NY4,SAI01,1887-05-03,1887-10-10,60,2,4000,,
251,1887,AA,NY4,1887NY4,WEE01,1887-09-11,1887-09-11,1,0,0,,
252,1887,AA,PH4,1887PH4,PHI01,1887-04-21,1887-10-10,71,4,29500,,
253,1887,NL,PHI,1887PHI,PHI06,1887-04-30,1887-10-07,64,2,26500,,
254,1887,NL,PIT,1887PIT,PIT04,1887-04-30,1887-10-08,65,7,33500,,
255,1887,AA,SL4,1887SL4,STL03,1887-04-22,1887-10-09,73,2,15000,,
256,1887,NL,WS8,1887WS8,WAS05,1887-04-29,1887-10-08,62,4,8300,,
257,1887,NL,WS8,1887WS8,WOR02,1887-08-17,1887-08-17,1,0,0,,
258,1888,AA,BL2,1888BL2,BAL03,1888-04-20,1888-10-13,56,0,0,,
259,1888,AA,BR3,1888BR3,NYC05,1888-04-18,1888-10-16,56,6,9200,,
260,1888,AA,BR3,1888BR3,NYC18,1888-04-22,1888-10-14,20,0,0,,
261,1888,NL,BSN,1888BSN,BOS03,1888-05-25,1888-10-13,68,1,15000,,
262,1888,NL,CHN,1888CHN,CHI06,1888-05-01,1888-09-26,70,3,28000,,
263,1888,AA,CL3,1888CL3,CLE03,1888-05-02,1888-09-15,56,3,1500,,
264,1888,AA,CL3,1888CL3,GEA01,1888-07-22,1888-08-26,3,0,0,,
265,1888,AA,CL3,1888CL3,NEW03,1888-09-02,1888-09-02,1,0,0,,
266,1888,AA,CN2,1888CN2,CIN04,1888-05-01,1888-10-14,82,4,17900,,
267,1888,NL,DTN,1888DTN,DET01,1888-05-01,1888-09-22,68,2,14000,,
268,1888,NL,IN3,1888IN3,IND05,1888-04-20,1888-09-22,66,3,8000,,
269,1888,AA,KC2,1888KC2,KAN02,1888-04-18,1888-09-29,56,1,1000,,
270,1888,AA,KC2,1888KC2,KAN03,1888-09-30,1888-09-30,1,0,0,,
271,1888,AA,LS2,1888LS2,LOU02,1888-04-28,1888-10-14,60,1,1200,,
272,1888,NL,NY1,1888NY1,NYC03,1888-04-25,1888-10-13,70,8,51900,,
273,1888,AA,PH4,1888PH4,GLO01,1888-08-05,1888-10-14,3,0,0,,
274,1888,AA,PH4,1888PH4,PHI01,1888-04-18,1888-10-17,72,1,2014,,
275,1888,NL,PHI,1888PHI,PHI06,1888-04-20,1888-10-13,66,1,1200,,
276,1888,NL,PIT,1888PIT,PIT04,1888-04-20,1888-09-27,70,4,13000,,
277,1888,AA,SL4,1888SL4,STL03,1888-04-18,1888-10-11,82,1,8000,,
278,1888,NL,WS8,1888WS8,WAS05,1888-04-20,1888-10-13,66,0,0,,
279,1889,AA,BL2,1889BL2,BAL06,1889-04-18,1889-10-10,67,1,2108,,
280,1889,AA,BR3,1889BR3,NYC05,1889-04-25,1889-05-04,8,0,0,,
281,1889,AA,BR3,1889BR3,NYC08,1889-05-30,1889-10-05,49,7,57759,,
282,1889,AA,BR3,1889BR3,NYC18,1889-05-05,1889-10-06,14,2,12684,,
283,1889,NL,BSN,1889BSN,BOS03,1889-05-08,1889-09-18,68,1,10000,,
284,1889,NL,CHN,1889CHN,CHI06,1889-05-08,1889-10-05,69,0,0,,
285,1889,NL,CL4,1889CL4,CLE03,1889-05-03,1889-10-05,68,1,10000,,
286,1889,AA,CL6,1889CL6,COL02,1889-04-28,1889-10-14,69,0,0,,
287,1889,AA,CN2,1889CN2,CIN04,1889-04-17,1889-10-15,74,3,22000,,
288,1889,NL,IN3,1889IN3,IND05,1889-04-24,1889-10-05,69,0,0,,
289,1889,AA,KC2,1889KC2,KAN03,1889-04-25,1889-09-30,70,0,0,,
290,1889,AA,LS2,1889LS2,LOU02,1889-04-17,1889-10-14,64,2,3000,,
291,1889,NL,NY1,1889NY1,JER01,1889-04-24,1889-04-25,2,0,0,,
292,1889,NL,NY1,1889NY1,NYC09,1889-07-08,1889-09-14,38,1,2000,,
293,1889,NL,NY1,1889NY1,SAI01,1889-04-29,1889-06-14,23,2,5490,,
294,1889,AA,PH4,1889PH4,GLO01,1889-04-21,1889-10-13,14,0,0,,
295,1889,AA,PH4,1889PH4,PHI01,1889-04-18,1889-10-15,59,2,3078,,
296,1889,NL,PHI,1889PHI,PHI06,1889-04-29,1889-09-21,68,0,0,,
297,1889,NL,PIT,1889PIT,PIT04,1889-04-24,1889-10-05,70,0,0,,
298,1889,AA,SL4,1889SL4,STL03,1889-04-25,1889-10-06,71,1,14000,,
299,1889,NL,WS8,1889WS8,WAS05,1889-04-24,1889-09-21,56,0,0,,
300,1890,PL,BFP,1890BFP,BUF03,1890-04-19,1890-10-04,65,4,2292,,
301,1890,AA,BL3,1890BL3,BAL06,1890-08-27,1890-10-15,22,1,4192,,
302,1890,AA,BR4,1890BR4,MAS01,1890-07-27,1890-08-03,2,0,0,,
303,1890,AA,BR4,1890BR4,NYC09,1890-06-09,1890-08-02,8,0,0,,
